last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Varsho, Daulton,662139,2020,115,68,.188,.196,-0.008,.366,.347,0.019,.287,.288,-0.001
Martínez, José,500874,2020,98,61,.182,.218,-0.036,.295,.356,-0.061,.248,.288,-0.040
Peraza, José,606299,2020,120,94,.225,.238,-0.013,.342,.357,-0.015,.270,.287,-0.017
Lopez, Nicky,670032,2020,192,131,.201,.238,-0.037,.266,.308,-0.042,.254,.287,-0.033
Arenado, Nolan,571448,2020,201,166,.253,.235,0.018,.434,.392,0.042,.308,.286,0.022
Olivares, Edward,658668,2020,101,72,.240,.260,-0.020,.375,.366,0.009,.275,.286,-0.011
Altuve, Jose,514888,2020,210,153,.219,.229,-0.010,.344,.347,-0.003,.278,.286,-0.008
O'Neill, Tyler,641933,2020,157,97,.173,.194,-0.021,.360,.376,-0.016,.271,.286,-0.015
Vázquez, Christian,543877,2020,189,130,.283,.221,0.062,.457,.356,0.101,.346,.284,0.062
Caratini, Victor,605170,2020,132,85,.241,.216,0.025,.328,.318,0.010,.297,.284,0.013
Newman, Kevin,621028,2020,172,138,.224,.247,-0.023,.276,.328,-0.052,.251,.284,-0.033
Kipnis, Jason,543401,2020,135,75,.237,.180,0.057,.404,.332,0.072,.326,.282,0.044
Alfaro, Jorge,595751,2020,100,57,.226,.220,0.006,.344,.379,-0.035,.271,.282,-0.011
Bryant, Kris,592178,2020,147,91,.206,.202,0.004,.351,.348,0.003,.285,.282,0.003
Toro, Abraham,647351,2020,97,64,.149,.221,-0.072,.276,.334,-0.058,.234,.282,-0.048
Semien, Marcus,543760,2020,236,161,.223,.203,0.020,.374,.344,0.030,.299,.281,0.018
Stallings, Jacob,607732,2020,143,88,.248,.207,0.041,.376,.324,0.052,.309,.278,0.031
Odor, Rougned,596059,2020,148,93,.167,.192,-0.025,.413,.417,-0.004,.259,.278,-0.019
Encarnación, Edwin,429665,2020,181,106,.157,.161,-0.004,.377,.366,0.011,.270,.277,-0.007
Lopes, Tim,621005,2020,151,109,.238,.235,0.003,.364,.347,0.017,.279,.276,0.003
Ruiz, Rio,547004,2020,204,141,.222,.211,0.011,.427,.354,0.073,.303,.276,0.027
Adrianza, Ehire,501303,2020,101,66,.191,.202,-0.011,.270,.308,-0.038,.257,.276,-0.019
Barnes, Austin,605131,2020,104,65,.244,.193,0.051,.314,.279,0.035,.306,.274,0.032
Báez, Javier,595879,2020,235,149,.203,.215,-0.012,.360,.380,-0.020,.256,.274,-0.018
Kieboom, Carter,666198,2020,122,67,.202,.180,0.022,.212,.220,-0.008,.275,.273,0.002
Stewart, Christin,621514,2020,99,61,.167,.208,-0.041,.300,.365,-0.065,.228,.273,-0.045
Choi, Ji-Man,596847,2020,145,89,.230,.190,0.040,.410,.298,0.112,.316,.272,0.044
Murphy, Daniel,502517,2020,132,103,.236,.238,-0.002,.333,.345,-0.012,.257,.271,-0.014
Cave, Jake,595909,2020,123,69,.221,.213,0.008,.389,.332,0.057,.293,.271,0.022
Fuentes, Joshua,658069,2020,103,71,.306,.254,0.052,.439,.341,0.098,.323,.270,0.053
Meadows, Austin,640457,2020,152,84,.205,.178,0.027,.371,.332,0.039,.292,.270,0.022
Narváez, Omar,553882,2020,126,69,.176,.172,0.004,.269,.294,-0.025,.262,.269,-0.007
Urías, Luis,649966,2020,120,77,.239,.223,0.016,.294,.290,0.004,.273,.268,0.005
DeShields, Delino,592261,2020,120,82,.252,.225,0.027,.318,.303,0.015,.280,.267,0.013
Kelly, Carson,608348,2020,129,93,.221,.218,0.003,.385,.351,0.034,.279,.267,0.012
Holt, Brock,571788,2020,106,72,.211,.223,-0.012,.274,.288,-0.014,.253,.267,-0.014
Mondesi, Adalberto,609275,2020,233,151,.256,.214,0.042,.416,.353,0.063,.305,.266,0.039
Pérez, Roberto,547379,2020,110,59,.165,.198,-0.033,.216,.281,-0.065,.228,.266,-0.038
Goodrum, Niko,592348,2020,179,92,.184,.183,0.001,.335,.336,-0.001,.262,.265,-0.003
Simmons, Andrelton,592743,2020,127,102,.297,.238,0.059,.356,.281,0.075,.313,.262,0.051
